FULLGAME_STRATEGY_V1
ITER	12000
INFOSET	FOLD	CHECK	CALL	BET	RAISE	ALL_IN	VISITS
flop|seat=0|bucket=102|tc=0|pot=1|n=2|h=crc	0.0000000000	0.3333333333	0.0000000000	0.3333333333	0.0000000000	0.3333333333	6
flop|seat=0|bucket=102|tc=0|pot=1|n=2|h=crck	0.0000000000	0.3095978320	0.0000000000	0.3002532023	0.0000000000	0.3901489657	6
flop|seat=0|bucket=102|tc=0|pot=1|n=2|h=rc	0.0000000000	0.2240592395	0.0000000000	0.7203852049	0.0000000000	0.0555555556	6
flop|seat=0|bucket=102|tc=0|pot=1|n=2|h=rck	0.0000000000	0.3881687518	0.0000000000	0.3896090260	0.0000000000	0.2222222222	9
flop|seat=0|bucket=102|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.3941666667	0.0000000000	0.4391666667	0.0000000000	0.1666666667	4
flop|seat=0|bucket=102|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.4645987719	0.0000000000	0.4520678947	0.0000000000	0.0833333333	4
flop|seat=0|bucket=102|tc=1|pot=1|n=2|h=ckb	0.1758600027	0.0000000000	0.1777827773	0.0000000000	0.1760299590	0.4703272611	8
flop|seat=0|bucket=102|tc=1|pot=1|n=2|h=ckbr	0.2500000000	0.0000000000	0.2500000000	0.0000000000	0.2500000000	0.2500000000	1
flop|seat=0|bucket=102|tc=1|pot=1|n=2|h=ckkb	0.2500000000	0.0000000000	0.2500000000	0.0000000000	0.2500000000	0.2500000000	1
flop|seat=0|bucket=102|tc=1|pot=1|n=2|h=crcb	0.0500000000	0.0000000000	0.0500000000	0.0000000000	0.0500000000	0.8500000000	5
flop|seat=0|bucket=102|tc=1|pot=1|n=2|h=rcb	0.0555555556	0.0000000000	0.0555555556	0.0000000000	0.8333333333	0.0555555556	9
flop|seat=0|bucket=102|tc=1|pot=1|n=2|h=rckb	0.1250000000	0.0000000000	0.2374165948	0.0000000000	0.1250000000	0.5125834052	2
flop|seat=0|bucket=102|tc=1|pot=2|n=2|h=rcbr	0.1250000000	0.0000000000	0.1814741348	0.0000000000	0.1250000000	0.5685258652	2
flop|seat=0|bucket=102|tc=1|pot=2|n=2|h=rrcb	0.1907005736	0.0000000000	0.1938048223	0.0000000000	0.1936893677	0.4218052364	3
flop|seat=0|bucket=103|tc=0|pot=0|n=2|h=ck	0.0000000000	0.6763627478	0.0000000000	0.2231499297	0.0000000000	0.1004873225	20
flop|seat=0|bucket=103|tc=0|pot=0|n=2|h=ckk	0.0000000000	0.8571428571	0.0000000000	0.0714285714	0.0000000000	0.0714285714	14
flop|seat=0|bucket=103|tc=0|pot=1|n=2|h=crc	0.0000000000	0.9393939394	0.0000000000	0.0303030303	0.0000000000	0.0303030303	22
flop|seat=0|bucket=103|tc=0|pot=1|n=2|h=crck	0.0000000000	0.4714235631	0.0000000000	0.4841319924	0.0000000000	0.0444444444	15
flop|seat=0|bucket=103|tc=0|pot=1|n=2|h=crrc	0.0000000000	0.4705856991	0.0000000000	0.4627476343	0.0000000000	0.0666666667	5
flop|seat=0|bucket=103|tc=0|pot=1|n=2|h=rc	0.0000000000	0.6079400618	0.0000000000	0.3476154938	0.0000000000	0.0444444444	15
flop|seat=0|bucket=103|tc=0|pot=1|n=2|h=rck	0.0000000000	0.0333333333	0.0000000000	0.9333333333	0.0000000000	0.0333333333	10
flop|seat=0|bucket=103|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.0714285714	0.0000000000	0.8571428571	0.0000000000	0.0714285714	14
flop|seat=0|bucket=103|tc=0|pot=1|n=2|h=rrck	0.0000000000	0.4983824135	0.0000000000	0.4713145562	0.0000000000	0.0303030303	11
flop|seat=0|bucket=103|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.1333333333	0.0000000000	0.1333333333	0.0000000000	0.7333333333	5
flop|seat=0|bucket=103|tc=1|pot=1|n=2|h=ckb	0.2920892638	0.0000000000	0.2840960834	0.0000000000	0.3300646528	0.0937500000	16
flop|seat=0|bucket=103|tc=1|pot=1|n=2|h=ckbr	0.2636254572	0.0000000000	0.3395773516	0.0000000000	0.3551305245	0.0416666667	6
flop|seat=0|bucket=103|tc=1|pot=1|n=2|h=ckkb	0.1334180071	0.0000000000	0.1359859762	0.0000000000	0.1377336035	0.5928624132	11
flop|seat=0|bucket=103|tc=1|pot=1|n=2|h=crcb	0.2722890246	0.0000000000	0.3533978952	0.0000000000	0.3326464136	0.0416666667	12
flop|seat=0|bucket=103|tc=1|pot=1|n=2|h=rcb	0.2340667201	0.0000000000	0.4231218122	0.0000000000	0.2603747967	0.0824366710	14
flop|seat=0|bucket=103|tc=1|pot=1|n=2|h=rckb	0.2390790903	0.0000000000	0.2550670976	0.0000000000	0.2406228773	0.2652309348	9
flop|seat=0|bucket=103|tc=1|pot=2|n=2|h=rcbr	0.2798366777	0.0000000000	0.3238694559	0.0000000000	0.3129605331	0.0833333333	3
flop|seat=0|bucket=103|tc=1|pot=2|n=2|h=rrcb	0.2738720627	0.0000000000	0.3075702344	0.0000000000	0.3828434172	0.0357142857	7
flop|seat=0|bucket=104|tc=0|pot=0|n=2|h=ck	0.0000000000	0.7350676288	0.0000000000	0.2530276093	0.0000000000	0.0119047619	28
flop|seat=0|bucket=104|tc=0|pot=0|n=2|h=ckk	0.0000000000	0.6666666667	0.0000000000	0.1666666667	0.0000000000	0.1666666667	12
flop|seat=0|bucket=104|tc=0|pot=1|n=2|h=crc	0.0000000000	0.8098516289	0.0000000000	0.0625000000	0.0000000000	0.1276483711	16
flop|seat=0|bucket=104|tc=0|pot=1|n=2|h=crck	0.0000000000	0.2071680867	0.0000000000	0.2075310133	0.0000000000	0.5853009001	4
flop|seat=0|bucket=104|tc=0|pot=1|n=2|h=crrc	0.0000000000	0.4683467038	0.0000000000	0.4483199628	0.0000000000	0.0833333333	8
flop|seat=0|bucket=104|tc=0|pot=1|n=2|h=rc	0.0000000000	0.2222518564	0.0000000000	0.5646422822	0.0000000000	0.2131058614	11
flop|seat=0|bucket=104|tc=0|pot=1|n=2|h=rck	0.0000000000	0.1111111111	0.0000000000	0.1111111111	0.0000000000	0.7777777778	3
flop|seat=0|bucket=104|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.3965088874	0.0000000000	0.4034911126	0.0000000000	0.2000000000	15
flop|seat=0|bucket=104|tc=0|pot=1|n=2|h=rrck	0.0000000000	0.3333333333	0.0000000000	0.3333333333	0.0000000000	0.3333333333	1
flop|seat=0|bucket=104|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.4811499019	0.0000000000	0.4632945425	0.0000000000	0.0555555556	6
flop|seat=0|bucket=104|tc=1|pot=1|n=2|h=ckb	0.0681818182	0.0000000000	0.0910182863	0.0000000000	0.2096262382	0.6311736573	11
flop|seat=0|bucket=104|tc=1|pot=1|n=2|h=ckbr	0.1020932190	0.0000000000	0.1199726430	0.0000000000	0.1046444180	0.6732897200	8
flop|seat=0|bucket=104|tc=1|pot=1|n=2|h=ckkb	0.2793280786	0.0000000000	0.2849357571	0.0000000000	0.2818900104	0.1538461538	13
flop|seat=0|bucket=104|tc=1|pot=1|n=2|h=crcb	0.1788526059	0.0000000000	0.1840065280	0.0000000000	0.2382720938	0.3988687723	5
flop|seat=0|bucket=104|tc=1|pot=1|n=2|h=rcb	0.0833333333	0.0000000000	0.2086354852	0.0000000000	0.0833333333	0.6246978481	3
flop|seat=0|bucket=104|tc=1|pot=1|n=2|h=rckb	0.1250000000	0.0000000000	0.2192678100	0.0000000000	0.1250000000	0.5307321900	2
flop|seat=0|bucket=104|tc=1|pot=2|n=2|h=rcbr	0.2850769690	0.0000000000	0.3373368837	0.0000000000	0.3150861473	0.0625000000	4
flop|seat=0|bucket=104|tc=1|pot=2|n=2|h=rrcb	0.2500000000	0.0000000000	0.2500000000	0.0000000000	0.2500000000	0.2500000000	1
flop|seat=0|bucket=105|tc=0|pot=0|n=2|h=ck	0.0000000000	0.2261114520	0.0000000000	0.7627774369	0.0000000000	0.0111111111	60
flop|seat=0|bucket=105|tc=0|pot=0|n=2|h=ckk	0.0000000000	0.3340017475	0.0000000000	0.6004244820	0.0000000000	0.0655737705	61
flop|seat=0|bucket=105|tc=0|pot=1|n=2|h=crc	0.0000000000	0.0694082995	0.0000000000	0.9167028116	0.0000000000	0.0138888889	72
flop|seat=0|bucket=105|tc=0|pot=1|n=2|h=crck	0.0000000000	0.6182257189	0.0000000000	0.3475862469	0.0000000000	0.0341880342	39
flop|seat=0|bucket=105|tc=0|pot=1|n=2|h=crrc	0.0000000000	0.5326860275	0.0000000000	0.4497701129	0.0000000000	0.0175438596	19
flop|seat=0|bucket=105|tc=0|pot=1|n=2|h=rc	0.0000000000	0.8859374899	0.0000000000	0.1014838937	0.0000000000	0.0125786164	53
flop|seat=0|bucket=105|tc=0|pot=1|n=2|h=rck	0.0000000000	0.6018467136	0.0000000000	0.3345632881	0.0000000000	0.0635899982	37
flop|seat=0|bucket=105|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.6215483793	0.0000000000	0.3705151127	0.0000000000	0.0079365079	42
flop|seat=0|bucket=105|tc=0|pot=1|n=2|h=rrck	0.0000000000	0.6093266344	0.0000000000	0.3698400322	0.0000000000	0.0208333333	16
flop|seat=0|bucket=105|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.4691549389	0.0000000000	0.4460892777	0.0000000000	0.0847557833	16
flop|seat=0|bucket=105|tc=1|pot=1|n=2|h=ckb	0.2961558761	0.0000000000	0.3101113337	0.0000000000	0.3708828301	0.0228499601	64
flop|seat=0|bucket=105|tc=1|pot=1|n=2|h=ckbr	0.2462142841	0.0000000000	0.5283914531	0.0000000000	0.2092652305	0.0161290323	31
